Distance from coast (meters),Elevation above sea level (meters)
1718000,341
1719000,341
1720000,341
1721000,341
1722000,341
1723000,341
1724000,341
1725000,341
1726000,341
1727000,342
1728000,342
1729000,342
1730000,342
1731000,342
1732000,342
1733000,342
1734000,342
1735000,342
1736000,342
1737000,342
1738000,342
1739000,342
1740000,342
1741000,342
1742000,343
1743000,343
1744000,343
1745000,343
1746000,343
1747000,343
1748000,343
1749000,343
1750000,343
1751000,343
1752000,343
1753000,343
1754000,344
1755000,344
1756000,344
1757000,344
1758000,344
1759000,344
1760000,344
1761000,344
1762000,344
1763000,344
1764000,344
1765000,344
1766000,344
1767000,344
1768000,344
1769000,344
1770000,344
1771000,344
1772000,344
1773000,345
1774000,345
1775000,345
1776000,345
1777000,345
1778000,345
1779000,345
1780000,345
1781000,345
1782000,345
1783000,345
1784000,345
1785000,345
1786000,345
1787000,345
1788000,345
1789000,345
